Code, Area (square meter), Latitude, Longitude
53027001500,26460379,46.9876457,-124.0081419
53027001600,294666065,46.8710235,-123.9677143
53027940000,782782049,47.4191801,-124.1403664
53027990000,0,47.1639609,-124.2655582
53029970100,26517419,48.3909174,-122.6174648
53029970200,18048529,48.3399471,-122.6683853
53029970300,46840682,48.3290384,-122.5751135
53029970400,14197066,48.318534,-122.6710852
53029970500,23101417,48.2720817,-122.7074752
53029970601,1627511,48.3027217,-122.6632901
53029970602,1976740,48.2921425,-122.6658138
53029970700,2051919,48.2900942,-122.6549929
53029970800,1564792,48.3015009,-122.6381195
53029970900,11633122,48.2976251,-122.5727329
53029971000,34963144,48.220766,-122.7438343
53029971100,45358282,48.1837987,-122.6496927
53029971300,55895931,48.072751,-122.5860359
53029971400,29108747,48.2188252,-122.5145095
53029971500,27611937,48.2145613,-122.4526433
53029971600,20786518,48.1693578,-122.5075369
53029971700,25456588,48.1096022,-122.4214835
53029971800,21851765,47.9828721,-122.5252614
53029971900,51559687,48.0593268,-122.4807377
53029972000,47741414,47.987852,-122.4059282
53029972100,31815960,47.9375721,-122.3934862
53029992201,0,48.3395551,-122.7962515
53031950202,251332205,47.8392646,-122.9123069
53031950300,208134526,47.9053451,-122.7180541
53031950400,35026810,48.0630915,-122.7015436
53031950500,160770877,48.1307315,-122.9265171
53031950601,10002437,48.139784,-122.7741138
53031950602,11224389,48.1382127,-122.7997724
53031950702,3995299466,47.7422402,-123.8056594
53031990000,0,47.7318226,-124.53484
53033000100,1908930,47.7247297,-122.2845705
53033000200,3286278,47.7266401,-122.3099963
53033000300,1211017,47.7305259,-122.3329277
53033000401,1281400,47.7301879,-122.3518014
53033000402,1798937,47.7168585,-122.3523664
53033000500,2895569,47.7224094,-122.3710555
53033000600,3783735,47.719552,-122.331415
53033000700,1294678,47.7156893,-122.3018631
53033000800,1141569,47.7112491,-122.286082
53033000900,1007015,47.7063747,-122.2749586
53033001000,954470,47.7064068,-122.2960647
53033001100,1060416,47.706547,-122.3068073
53033001200,1834059,47.7071214,-122.3228194
53033001300,1183904,47.7022815,-122.3421789
53033001400,2137295,47.7078795,-122.3674088
53033001500,1170486,47.6946324,-122.3949744
53033001600,2041026,47.7004764,-122.3799022
53033001701,892768,47.6963619,-122.3544843
53033001702,1280220,47.6965212,-122.3639488
53033001800,943059,47.6940453,-122.3419781
53033001900,1663247,47.6965349,-122.326216
53033002000,1103320,47.695331,-122.3108025
53033002100,1365469,47.6953673,-122.2980453
53033002200,2769401,47.6941159,-122.2754574
53033002400,978016,47.6866808,-122.2878263
53033002500,984334,47.6838969,-122.3022793
53033002600,1216627,47.6822031,-122.3113993
53033002700,1597300,47.6868671,-122.3311548
53033002800,979865,47.685114,-122.349945
53033002900,986207,47.6850872,-122.3606466
53033003000,1493249,47.6850958,-122.3740444
53033003100,2232860,47.6877574,-122.3964308
53033003200,2213071,47.6753292,-122.4022855
53033003300,1296280,47.6759715,-122.3768118
53033003400,787147,47.6740646,-122.3617463
53033003500,1284759,47.6725466,-122.3520881
53033003600,1196464,47.6771912,-122.3242054
53033003800,624606,47.6794093,-122.2955292
53033003900,973808,47.6794117,-122.2823414
53033004000,2605311,47.681718,-122.252368
53033004100,3262543,47.6692654,-122.2582166
53033004200,2464093,47.6702045,-122.2841013
53033004301,979235,47.6694019,-122.3002215
53033004302,330838,47.6647418,-122.3035951
53033004400,989907,47.670341,-122.3119324
53033004500,670997,47.6685824,-122.3229111
53033004600,1552357,47.683092,-122.3378674
53033004700,1955447,47.6660659,-122.3749544
53033004800,1318564,47.6608472,-122.3601847
53033004900,1085823,47.6571964,-122.3518455
53033005000,757380,47.6608696,-122.3418076
53033005100,881710,47.6585183,-122.3322481
53033005200,967022,47.6595705,-122.3235185
53033005301,543486,47.661505,-122.3131216
53033005302,2507220,47.6540399,-122.3012544
