USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13051001100,1583486,0,0.611,0,32.0672876,-81.0810649
GA,13051001200,1608411,55650,0.621,0.021,32.065001,-81.108689
GA,13051001500,257221,0,0.099,0,32.0666817,-81.0930321
GA,13051002000,569537,0,0.22,0,32.0607071,-81.0889828
GA,13051002100,735118,0,0.284,0,32.058506,-81.0807397
GA,13051002200,2207264,0,0.852,0,32.052376,-81.0707688
GA,13051002300,621756,0,0.24,0,32.0577195,-81.1112837
GA,13051002600,480554,0,0.186,0,32.05415,-81.0931242
GA,13051002700,937106,0,0.362,0,32.0518492,-81.0842939
GA,13051002800,1228319,0,0.474,0,32.049231,-81.1092499
GA,13051002900,1596089,0,0.616,0,32.0449106,-81.0989292
GA,13051003000,1199193,16242,0.463,0.006,32.0444057,-81.085655
GA,13051003301,1387481,0,0.536,0,32.0723374,-81.1249954
GA,13051003302,1579319,45768,0.61,0.018,32.065107,-81.1270475
GA,13051003400,3267095,610,1.261,0,32.0330666,-81.1029305
GA,13051003501,2095314,0,0.809,0,32.0347682,-81.0841313
GA,13051003502,2945441,0,1.137,0,32.0307029,-81.0760378
GA,13051003601,3317924,191169,1.281,0.074,32.0619479,-81.0482939
GA,13051003602,2840801,14152,1.097,0.005,32.0485293,-81.0567866
GA,13051003700,1748553,0,0.675,0,32.0654414,-81.0660863
GA,13051003800,1920054,728,0.741,0,32.0269786,-81.06701
GA,13051003900,3616101,0,1.396,0,32.0106917,-81.0780492
GA,13051004001,5441660,2358,2.101,0.001,32.0169061,-81.0997519
GA,13051004002,6498062,284146,2.509,0.11,32.0008445,-81.099876
GA,13051004100,2477347,173598,0.957,0.067,31.9807641,-81.1081388
GA,13051004207,1960826,0,0.757,0,31.9966114,-81.1375934
GA,13051004208,3081215,55543,1.19,0.021,31.9824248,-81.1442545
GA,13051004209,4062128,547677,1.568,0.211,31.9729321,-81.1269803
GA,13051004210,2649490,268852,1.023,0.104,31.9902758,-81.1164078
GA,13051004211,3569959,0,1.378,0,31.9698536,-81.1430205
GA,13051004212,6142433,131843,2.372,0.051,31.9696272,-81.1616966
GA,13051004300,22235653,31553,8.585,0.012,32.0155607,-81.14483
GA,13051004400,1740956,0,0.672,0,32.038342,-81.12075
GA,13051004500,6209668,7227,2.398,0.003,32.0490295,-81.1314223
GA,13051010101,10347394,2105417,3.995,0.813,32.0795367,-81.0300895
GA,13051010102,8368375,1902578,3.231,0.735,32.0295538,-81.0533405
GA,13051010200,2964558,0,1.145,0,31.9968174,-81.0678485
GA,13051010501,33419841,866034,12.903,0.334,32.0535751,-81.1761253
GA,13051010502,14304533,226739,5.523,0.088,32.0289953,-81.1670949
GA,13051010601,5945304,0,2.295,0,32.1081249,-81.1538822
GA,13051010603,11231692,37145,4.337,0.014,32.1039561,-81.1805975
GA,13051010605,3965240,2736633,1.531,1.057,32.0878458,-81.0728453
GA,13051010700,139528100,9389539,53.872,3.625,32.1715264,-81.1976613
GA,13051010801,35695796,4390299,13.782,1.695,32.128951,-81.3073009
GA,13051010802,93009794,3982486,35.911,1.538,32.0591123,-81.3169402
